F90.8,0,0,0,0,0,0,0,0.357,0.017,0,1,0.575,0,0,0,0,0,0,0.597,0.348,0.422,0.3,0,0,0,0,0,0.015,0.018,0,0.042,0.157,0.3,0.281,0.013,0.041,0.047,0.017,0.048,0.192,0.3,0.003,0.027,0.021,0,0.031,0.021,0.226,0.312,0.017,0,0.031,0.029,0,0.032,0.028,0.016,0.041,0,0.312,0.017,0.036,0.033,0.04,0.042,0.014,0.041,0.283,0.294,0,0,0.011,0.015,0.015,0.334,0.294,0.017,0.019,0.037,0.268,0.312,0,0,0.021,0,0,0.22,0.28,0,0,0,0,0,0,0.248,0.3,0.024,0,0.508,0.312,0.02,0.006,0,0,0,0,0.004,0.018,0.021,0.026,0.006,0.028,0.421,0.329,0.492,0.329,0.423,0.292,0,0,0,0,0,0,0,0,0.326,0.154,0.004,0.013,0.407,0.313,0.004,0,0,0,0,0.428,0.281,0,0,0.059,0.365,0.056,0.046,0.365,0,0,0.069,0.365,0,0,0,0,0.068,0.365,0.365,0,0,0.365,0,0,0.062,0.365,0.001,0,0.053,0.34,0.006,0,0.084,0.365,0,0.037,0.365,0,0,0.032,0.346,0.004,0,0.389,0.309,0,0,0,0,0,0,0.002,0,0,0,0,0,0.345,0,0,0,0,0,0,0,0,0,0,0.05,0.508,0.322,0.034,0.032,0.034,0.042,0.035,0,0.04,0.034,0.408,0.322,0.246,0.182,0.494,0.314
F90.9,0,0,0,0,0,0,0,0.684,0.018,0,0.575,1,0,0,0,0,0,0,0.376,0.667,0.25,0.61,0,0,0,0,0,0.016,0.019,0,0.045,0.223,0.196,0.51,0.014,0.044,0.05,0.018,0.051,0.127,0.544,0.002,0.028,0.023,0,0.033,0.022,0.148,0.516,0.018,0,0.033,0.031,0,0.035,0.032,0.018,0.044,0,0.566,0.018,0.039,0.035,0.043,0.045,0.015,0.044,0.217,0.533,0,0,0.012,0.014,0.013,0.218,0.533,0.018,0.021,0.04,0.175,0.516,0,0,0.022,0,0,0.235,0.355,0,0,0,0,0,0,0.162,0.544,0.025,0,0.332,0.566,0.021,0.006,0,0,0,0,0.005,0.019,0.022,0.027,0.007,0.03,0.281,0.584,0.329,0.584,0.282,0.531,0,0,0,0,0,0,0,0,0.159,0.362,0.005,0.014,0.272,0.581,0.006,0,0,0,0,0.28,0.51,0,0,0.064,0.391,0.06,0.049,0.391,0,0,0.073,0.391,0,0,0,0,0.072,0.391,0.391,0,0,0.391,0,0,0.066,0.391,0,0,0.056,0.364,0.007,0,0.09,0.391,0,0.04,0.391,0,0,0.034,0.37,0.004,0,0.256,0.517,0,0,0,0,0,0,0.002,0,0,0,0,0,0.369,0,0,0,0,0,0,0,0,0,0,0.053,0.332,0.585,0.037,0.035,0.036,0.045,0.037,0,0.043,0.037,0.286,0.585,0.175,0.311,0.338,0.526
F81.0(With impairment in reading)|F81.81(With impairment in written expression)|F81.2(With impairment in mathematics),0,0,0,0.003,0.002,0.001,0.002,0,0.001,0,0,0,1,0.004,0,0,0,0,0,0,0,0,0.001,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0.001,0.001,0.001,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.004,0,0,0,0.002,0,0,0,0.001,0.001,0,0,0,0,0.001,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0.001,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0.001,0.001,0,0
F82,0,0,0,0.009,0.004,0.003,0.003,0,0.003,0,0,0,0.004,1,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0,0,0.002,0.008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.001,0,0,0.001,0,0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.001,0.001,0.001,0,0.001,0.001,0.001,0.001,0.001,0.002,0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F98.4,0.002,0,0,0.002,0.002,0.006,0.002,0,0.014,0,0,0,0,0.002,1,0.009,0.009,0.009,0,0,0,0,0.013,0.013,0.007,0.008,0,0.002,0.002,0.002,0.002,0,0,0,0.012,0.008,0.009,0,0.001,0,0,0.004,0.005,0.007,0.004,0,0.001,0,0,0.001,0,0,0.004,0.003,0,0.006,0,0.001,0,0,0.013,0,0,0.001,0.009,0.018,0.008,0,0.002,0,0,0.011,0.006,0,0,0,0.004,0.005,0.006,0,0,0,0.001,0.001,0,0.003,0,0,0.003,0.001,0,0,0,0,0,0,0.014,0.013,0,0,0.004,0.006,0,0.001,0.001,0.002,0,0.005,0.005,0.007,0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.007,0,0.002,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0.001,0.002,0.004,0.003,0.003,0,0,0,0.005,0.006,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0.003,0,0,0,0,0
F95.2,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0.009,1,0.984,0.983,0,0,0,0,0.013,0.013,0.008,0.008,0.003,0.002,0.002,0,0.001,0,0,0,0.011,0.008,0.013,0,0.001,0,0,0.004,0.005,0.007,0.005,0.001,0.001,0,0,0,0,0,0.004,0.003,0,0.006,0.002,0.001,0,0,0.003,0,0,0,0.009,0.001,0.001,0,0,0,0,0.012,0.005,0,0,0,0.004,0.005,0.006,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0.013,0.013,0,0,0.004,0.005,0,0,0,0,0,0.005,0.005,0.007,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007,0,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.001,0,0.004,0.005,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F95.1,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0.009,0.984,1,0.983,0,0,0,0,0.013,0.013,0.008,0.008,0.003,0.002,0.002,0,0.001,0,0,0,0.011,0.008,0.013,0,0.001,0,0,0.004,0.005,0.007,0.005,0.001,0.001,0,0,0,0,0,0.004,0.003,0,0.006,0.002,0.001,0,0,0.003,0,0,0,0.009,0.001,0.001,0,0,0,0,0.012,0.005,0,0,0,0.004,0.005,0.006,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0.013,0.013,0,0,0.003,0.005,0,0,0,0,0,0.005,0.005,0.007,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007,0,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.001,0,0.004,0.004,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F95.0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0.009,0.983,0.983,1,0,0,0,0,0.013,0.013,0.008,0.008,0.003,0.002,0.002,0,0.001,0,0,0,0.011,0.008,0.013,0,0.001,0,0,0.004,0.004,0.007,0.005,0.001,0.001,0,0,0,0,0,0.004,0.003,0,0.006,0.002,0.001,0,0,0.003,0,0,0,0.009,0.001,0.001,0,0,0,0,0.012,0.004,0,0,0,0.004,0.005,0.006,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0.013,0.013,0,0,0.003,0.005,0,0,0,0,0,0.005,0.005,0.007,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.001,0,0.004,0.004,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F95.8,0,0,0,0,0,0,0,0.373,0.018,0,0.597,0.376,0,0,0,0,0,0,1,0.488,0.449,0.323,0,0,0,0,0,0.016,0.019,0,0.044,0.164,0.319,0.302,0.013,0.043,0.049,0.017,0.05,0.205,0.322,0,0.028,0.022,0,0.032,0.022,0.241,0.336,0.017,0,0.033,0.031,0,0.034,0.03,0.017,0.043,0,0.326,0.018,0.038,0.035,0.042,0.044,0.015,0.043,0.296,0.307,0,0,0.012,0.016,0.016,0.355,0.316,0.018,0.02,0.039,0.285,0.336,0,0,0.021,0,0,0.238,0.304,0,0,0,0,0,0,0.263,0.322,0.025,0,0.531,0.326,0.021,0.006,0,0,0,0,0.005,0.019,0.021,0.027,0.007,0.029,0.439,0.344,0.514,0.344,0.45,0.315,0,0,0,0,0,0,0,0,0.351,0.171,0.005,0.013,0.425,0.327,0.004,0,0,0,0,0.455,0.302,0,0,0.062,0.382,0.059,0.048,0.395,0,0,0.072,0.395,0,0,0,0,0.071,0.395,0.395,0,0,0.382,0,0,0.065,0.382,0.002,0,0.055,0.368,0,0,0.088,0.395,0,0.039,0.395,0,0,0.033,0.362,0.004,0,0.407,0.323,0,0,0,0,0,0,0.002,0,0,0,0,0,0.372,0,0,0,0,0,0,0,0,0,0,0.052,0.54,0.347,0.036,0.034,0.035,0.044,0.036,0,0.042,0.036,0.433,0.347,0.263,0.196,0.527,0.339
F95.9,0,0,0,0,0,0,0,0.728,0.019,0,0.348,0.667,0,0,0,0,0,0,0.488,1,0.271,0.654,0,0,0,0,0,0.017,0.02,0,0.046,0.228,0.212,0.548,0.014,0.045,0.051,0.018,0.055,0.137,0.584,0,0.029,0.023,0,0.034,0.025,0.16,0.557,0.018,0,0.034,0.032,0,0.035,0.033,0.018,0.045,0,0.598,0.019,0.039,0.036,0.044,0.046,0.015,0.045,0.226,0.563,0,0,0.013,0.015,0.014,0.236,0.573,0.019,0.021,0.041,0.19,0.557,0,0,0.022,0,0,0.257,0.385,0,0,0,0,0,0,0.175,0.584,0.026,0,0.349,0.598,0.021,0.007,0,0,0,0,0.005,0.02,0.022,0.028,0.007,0.031,0.27,0.575,0.316,0.575,0.305,0.57,0,0,0,0,0,0,0,0,0.183,0.402,0.005,0.014,0.277,0.593,0.007,0,0,0,0,0.302,0.548,0,0,0.065,0.371,0.061,0.05,0.385,0,0,0.075,0.385,0,0,0,0,0.074,0.385,0.385,0,0,0.371,0,0,0.068,0.371,0,0,0.057,0.359,0,0,0.092,0.385,0,0.04,0.385,0,0,0.035,0.352,0.004,0,0.253,0.517,0,0,0,0,0,0,0.002,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0.054,0.359,0.629,0.038,0.035,0.037,0.046,0.038,0,0.044,0.037,0.306,0.629,0.185,0.33,0.356,0.557
